Timestamp (ms),Accel X,Accel Y,Accel Z
22628,-0.02,-0.15,-1.04
22649,-0.04,-0.15,-1.04
22670,-0.09,-0.11,-1.04
22691,-0.07,-0.15,-1.03
22712,-0.07,-0.17,-1.05
22733,-0.02,-0.16,-1.05
22754,-0.04,-0.17,-1.04
22775,-0.06,-0.16,-1.04
22796,-0.04,-0.17,-1.05
22817,-0.09,-0.18,-1.03
22838,-0.09,-0.16,-1.04
22859,-0.07,-0.14,-1.03
22880,-0.11,-0.19,-1.02
22901,0.02,-0.17,-1.02
22922,-0.13,-0.15,-1.02
22943,-0.1,-0.15,-1.02
22964,-0.07,-0.16,-1.02
22985,-0.1,-0.18,-1.01
23006,-0.08,-0.16,-0.99
23027,-0.11,-0.18,-1.04
23048,-0.03,-0.19,-1.04
23069,-0.1,-0.18,-1.03
23090,-0.08,-0.18,-1.04
23111,-0.09,-0.2,-1.04
23132,-0.1,-0.18,-1.04
23153,-0.11,-0.18,-1.04
23174,-0.13,-0.15,-1.04
23195,-0.07,-0.14,-1.04
23216,-0.05,-0.13,-1.07
23237,-0.12,-0.16,-1.03
23258,-0.09,-0.16,-1.03
23279,-0.04,-0.17,-1.02
23300,-0.06,-0.19,-1.02
23321,-0.05,-0.17,-1.03
23342,-0.04,-0.19,-1.03
23363,-0.04,-0.18,-1.04
23384,-0.06,-0.17,-1.05
23405,-0.07,-0.09,-1.08
23426,-0.15,-0.15,-1.01
23447,-0.07,-0.17,-1.04
23468,-0.1,-0.17,-1.06
23489,-0.03,-0.18,-1.03
23510,-0.09,-0.2,-1.02
23531,-0.07,-0.18,-1.02
23552,-0.04,-0.19,-1.01
23573,-0.04,-0.19,-1.02
23594,-0.05,-0.19,-1.02
23615,-0.08,-0.17,-1.03
23636,-0.07,-0.17,-1.03
23657,-0.06,-0.17,-1.04
23678,-0.05,-0.18,-1.04
23699,-0.05,-0.17,-1.04
23720,-0.06,-0.16,-1.04
23741,-0.06,-0.16,-1.04
23762,-0.06,-0.16,-1.03
23783,-0.06,-0.17,-1.03
23804,-0.06,-0.18,-1.03
23825,-0.07,-0.17,-1.02
23846,-0.07,-0.17,-1.02
23867,-0.06,-0.17,-1.03
23888,-0.07,-0.17,-1.03
23909,-0.06,-0.16,-1.02
23930,-0.04,-0.16,-1.03
23951,-0.03,-0.17,-1.04
23972,-0.04,-0.16,-1.05
23993,-0.03,-0.16,-1.05
24014,-0.03,-0.15,-1.06
24035,-0.04,-0.16,-1.06
24056,-0.02,-0.16,-1.05
24077,-0.03,-0.16,-1.05
24098,-0.04,-0.15,-1.05
24119,-0.03,-0.16,-1.04
24140,-0.02,-0.17,-1.04
24161,-0.02,-0.17,-1.03
24182,-0.03,-0.16,-1.05
24203,-0.02,-0.15,-1.04
24224,-0.01,-0.15,-1.04
24245,-0.01,-0.14,-1.05
24266,-0.03,-0.14,-1.05
24287,-0.03,-0.13,-1.05
24308,-0.04,-0.14,-1.04
24329,-0.03,-0.14,-1.02
24350,-0.03,-0.15,-1.03
24371,-0.02,-0.15,-1.03
24392,-0.03,-0.15,-1.03
