Timestamp (ms),Accel X,Accel Y,Accel Z
556973,0.56,0.15,-0.92
556994,0.42,0.14,-0.91
557015,0.26,0.18,-0.91
557036,0.5,0.16,-0.91
557057,0.37,0.13,-0.9
557078,0.43,0.15,-0.92
557099,0.51,0.15,-0.91
557120,0.48,0.15,-0.9
557141,0.57,0.16,-0.9
557162,0.52,0.15,-0.89
557183,0.43,0.17,-0.91
557204,0.38,0.2,-0.91
557225,0.48,0.2,-0.92
557246,0.49,0.18,-0.92
557267,0.51,0.16,-0.92
557288,0.43,0.18,-0.94
557309,0.61,0.14,-0.91
557330,0.57,0.1,-0.91
557351,0.24,0.14,-0.91
557372,0.38,0.17,-0.91
557393,0.52,0.11,-0.88
557414,0.44,0.07,-0.9
557435,0.35,0.12,-0.91
557456,0.41,0.14,-0.91
557477,0.44,0.15,-0.91
557498,0.55,0.12,-0.92
557519,0.55,0.09,-0.9
557540,0.49,0.14,-0.92
557561,0.48,0.2,-0.91
557582,0.41,0.21,-0.91
557603,0.42,0.08,-0.88
557624,0.41,0.14,-0.92
557645,0.42,0.19,-0.94
557666,0.49,0.17,-0.91
557687,0.54,0.13,-0.91
557708,0.47,0.13,-0.92
557729,0.43,0.15,-0.92
557750,0.6,0.12,-0.88
557771,0.57,0.12,-0.89
557792,0.35,0.12,-0.92
557813,0.37,0.15,-0.94
557834,0.52,0.13,-0.93
557855,0.42,0.11,-0.92
557876,0.25,0.16,-0.88
557897,0.43,0.21,-0.91
557918,0.86,0.1,-0.92
557939,0.64,0.05,-0.93
557960,0.54,0.09,-0.93
557981,0.27,0.15,-0.91
558002,0.26,0.22,-0.88
558023,0.66,0.16,-0.86
558044,0.66,0.04,-0.88
558065,0.24,0.07,-0.91
558086,0.33,0.19,-0.93
558107,0.51,0.17,-0.9
558128,0.53,0.11,-0.9
558149,0.36,0.1,-0.91
558170,0.3,0.17,-0.9
558191,0.49,0.18,-0.89
558212,0.68,0.11,-0.88
558233,0.57,0.08,-0.91
558254,0.42,0.13,-0.93
558275,0.47,0.16,-0.92
